timestamp,informed_consent,k01_01,k01_02_i01,k01_02_i02,k01_02_i03,k01_02_i04,k01_02_i05,k01_02_i06,k01_02_i07,k01_02_i08,k01_02_i09,k02_01,k02_02,k02_03,k02_04,k02_05,k03_01,k03_02_i01,k03_02_i02,k03_02_i03,k03_02_i04,k03_02_i05,k03_02_i06,k03_02_i07,k03_02_i08,k03_02_i09,k03_02_i10,k03_02_i11,k03_02_i12,k03_02_i13,k03_02_i14,k03_02_i15,k03_02_i16,k03_02_i17,k03_02_i18,k03_02_i19,k03_02_i20,k03_03,k04_01_i01,k04_01_i02,k04_01_i03,k04_01_i04,k04_01_i05,k04_01_i06,k04_01_i07,k04_01_i08,k04_01_i09,k04_01_i10,k04_01_i11,k04_01_i12,k04_01_i13,k04_01_i14,k04_01_i15,k04_01_i16,k04_01_i17,k04_01_i18,k04_01_i19,k04_01_i20,k04_01_i21,k04_02_i01,k04_02_i02,k04_02_i03,k04_02_i04,k04_02_i05,k04_02_i06,k04_02_i07,k04_02_i08,k04_02_i09,k04_02_i10,k04_02_i11,k04_02_i12,k04_02_i13,k04_02_i14,k05_01_i01,k05_01_i02,k05_01_i03,k05_01_i04,k05_01_i05,k05_01_i06,k05_01_i07,k05_01_i08,k05_01_i09,k05_01_i10,k05_01_i11,k05_01_i12,k05_01_i13,k05_01_i14,k05_01_i15,k05_01_i16,k05_01_i17,k05_01_i18,k05_01_i19,k05_01_i20,k05_01_i21,k05_01_i22,k05_01_i23,k05_01_i24,k05_01_i25,k05_01_i26,k05_01_i27,k05_01_i28,k05_01_i29,k06_01_i01,k07_01,k07_02_i01,k07_02_i02,k07_02_i03,k07_03,k06_01_i02,k06_01_i03,k06_01_i04,k06_01_i05,k06_01_i06,k06_01_i07,k06_01_i08,k06_01_i09,k06_01_i10,k06_01_i11,k06_01_i12,k06_01_i13,k06_01_i14,k06_01_i15,k06_01_i16,k06_01_i17,k06_01_i18,k06_01_i19,k06_01_i20,k06_01_i21,k06_01_i22,file_path,k06_01_i23,condition,is_ai,is_responsibility,k02_03_num,k02_04_num,parents_education,parents_education_groups,k01_02_composite,k03_02_positive,k03_02_negative,k04_01_composite,k04_02_expertise,k04_02_integrity,k04_02_benevolence,k04_02_composite,k05_01_composite,k06_01_ease_of_use,k06_01_usefulness,k06_01_safety_risk,k06_01_privacy_risk,k06_01_trust,k06_01_attitude,k06_01_intention_to_use
2024-10-18T16:00:19Z,Igen,3,5,6,6,5,5,5,5,7,2,Female,Keleti nyelvek és kultúrák kínai szakirány,University BA,PhD,Middle 40%,Havonta egyszer,1,4,2,4,2,4,5,4,4,2,1,2,4,3,2,2,2,2,5,3,4,3,4,3,3,3,4,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,5,5,4,4,5,4,4,5,5,5,4,6,5,5,3,4,2,4,3,2,2,3,4,1,3,2,2,2,3,4,2,3,2,3,4,3,3,4,3,4,3,2,3,4,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,6,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,4,4,3,4,4,2,4,4,3,4,1,2,4,4,2,3,3,4,4,4,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,15,21,36,25% Top,46,31,23,70,27,19,20,66,0,15,17,7,7,10,8,12
2024-10-18T16:01:21Z,Igen,2,4,5,3,4,5,5,3,6,2,Female,pénzügy-számvitel,University MA,University MA,Middle 40%,Soha,1,1,1,3,1,2,1,4,3,1,1,1,3,3,1,2,2,1,3,2,4,5,4,5,3,4,5,4,1,4,4,4,4,5,5,4,4,5,2,3,4,5,7,7,6,5,7,5,5,6,6,3,6,7,6,5,2,5,4,5,5,2,5,5,4,5,5,3,4,5,3,5,3,5,5,3,3,3,2,1,1,5,5,1,1,2,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,7,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",1,1,4,3,4,3,1,4,5,5,5,5,3,2,2,1,2,3,1,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",5,0,0,0,17,17,34,25% Top,37,16,17,84,37,20,24,81,0,8,15,10,15,7,6,3
2024-10-18T16:19:12Z,Igen,1,5,3,3,3,5,3,3,5,3,Male,"GTK, TTK",Highschool,University BA,Middle 40%,Naponta többször,3,1,4,2,5,4,3,3,3,3,3,3,2,1,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"A kutatás azt vizsgálta, hogy a változókori táplálkozási szokások hogyan befolyásolják az egészségben eltöltött életévek számát.",4,4,4,"Nem, már az elején néhány kérdés után abbahagytam a pontos értelmezést.",3,3,4,3,3,3,3,3,3,3,2,3,3,4,3,3,3,5,3,2,3,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",3,0,0,0,12,15,27,50% Median,33,34,21,63,24,16,16,56,0,13,15,6,8,10,11,8
2024-10-18T16:27:49Z,Igen,2,6,5,5,5,7,5,6,6,5,Female,fizika,University MA,University MA,Middle 40%,Naponta,2,4,1,2,3,1,3,4,4,2,1,3,4,3,4,5,4,5,5,4,4,5,5,5,4,3,5,5,4,4,5,4,3,5,4,4,5,4,4,5,5,5,6,3,3,4,4,3,4,7,7,4,7,5,7,3,3,5,5,5,4,3,4,4,4,5,1,2,4,2,5,5,5,5,5,3,2,2,2,2,2,2,3,3,2,4,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",5,3,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",5,4,4,3,4,3,2,4,4,2,1,1,2,3,4,4,3,4,5,3,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",1,0,0,0,17,17,34,25% Top,50,26,34,93,23,22,22,67,0,17,16,6,3,9,11,9
2024-10-18T16:35:37Z,Igen,2,3,3,3,2,7,2,2,1,1,Female,Tanító,University BA,University BA,Middle 40%,Naponta,3,3,4,5,5,3,5,3,5,2,2,5,3,2,3,4,2,2,2,5,4,4,3,5,2,4,4,5,3,5,5,4,4,3,5,5,4,4,3,3,3,5,1,1,1,1,1,1,7,7,1,1,7,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,7,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",1,1,1,1,1,1,1,1,5,5,5,5,1,2,1,1,1,5,1,1,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",5,0,0,0,15,15,30,50% Median,24,42,23,83,6,16,10,32,0,4,5,10,15,4,7,3
2024-10-18T16:46:41Z,Igen,1,6,6,4,5,6,5,5,6,4,Male,mba,University BA,University MA,Top 30%,Hetente egyszer,2,5,3,3,4,3,4,5,5,4,3,5,3,3,2,4,3,4,5,1,4,3,3,3,4,3,3,4,2,4,4,4,3,4,4,4,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,2,4,4,2,2,3,2,4,4,4,3,3,2,2,2,4,5,4,4,4,2,4,5,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",6,2,6,"Nem, körülbelül a kétharmadánál már abbahagytam a kérdések pontos értelmezését.",3,5,5,4,4,4,1,5,4,5,5,5,3,3,3,4,3,4,4,3,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",5,0,0,0,15,17,32,50% Median,47,41,25,74,24,16,16,56,0,18,18,9,15,9,11,8
2024-10-18T16:51:10Z,Igen,4,2,6,6,6,2,6,6,2,6,Female,csecemő és kisgyermeknevelő,Highschool,Highschool,Middle 40%,Soha,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,3,3,4,2,5,2,2,2,3,5,4,4,4,2,4,4,2,4,3,2,2,2,2,4,2,4,4,4,4,4,4,4,4,2,3,3,4,4,3,2,2,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",5,6,6,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,2,2,2,3,3,2,2,2,3,3,3,3,3,2,3,2,2,3,3,2,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,12,12,24,25% Bottom,42,33,24,84,21,11,14,46,0,8,12,5,8,8,7,8
2024-10-18T17:11:36Z,Igen,3,4,3,5,3,4,5,3,3,5,Male,MBA,University MA,University MA,Top 30%,Naponta többször,4,4,3,4,4,5,4,4,4,3,4,5,3,2,5,5,5,2,3,3,4,2,3,2,3,4,4,5,3,4,3,4,3,3,4,3,3,1,3,3,2,2,3,5,5,5,4,4,5,5,4,3,5,3,4,4,3,2,5,2,2,3,3,2,3,4,4,3,2,5,2,2,3,1,3,3,2,1,4,3,1,3,3,2,3,5,"A kutatás azt vizsgálta, hogy mennyire hatékony egy egészséges táplálkozást előremozdító beavatkozás az idősek körében.",5,5,5,"Igen, az elejétől a végéig sikerült koncentrálnom.",4,5,4,4,4,4,4,5,4,3,5,4,3,3,4,4,3,4,4,4,3,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",4,0,0,0,17,17,34,25% Top,35,44,28,64,26,17,16,59,0,18,21,7,13,10,11,11
2024-10-18T17:34:05Z,Igen,3,5,4,2,4,6,4,1,5,1,Female,BGGYK,Highschool,Highschool,Middle 40%,Hetente többször,1,4,4,5,4,2,5,3,5,3,2,5,2,2,3,2,2,2,4,2,1,5,3,5,2,3,2,5,3,4,4,5,3,1,5,2,4,3,4,2,3,5,5,6,5,5,6,5,5,6,4,6,6,6,5,5,1,4,3,3,4,1,5,5,5,5,5,5,2,5,5,5,4,5,5,3,2,2,4,2,2,3,3,3,3,2,"A kutatás azt vizsgálta, hogy milyen hatásai voltak egy iskolai elhízás-megelőzési programnak.",7,5,4,"Igen, az elejétől a végéig sikerült koncentrálnom.",3,2,3,2,2,1,1,4,4,5,5,5,2,2,2,2,3,4,1,2,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",5,0,0,0,12,12,24,25% Bottom,32,40,19,73,32,21,22,75,0,10,10,9,15,6,9,4
2024-10-18T17:44:30Z,Igen,4,3,3,6,6,2,6,6,4,6,Male,Pénzügy MSC,University MA,University MA,Top 30%,Havonta egyszer,3,2,3,5,2,4,4,5,4,3,4,2,1,2,2,2,2,2,2,5,4,4,2,2,2,4,2,4,1,4,3,3,4,1,1,2,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,1,2,3,5,1,5,5,5,5,1,4,2,1,4,1,2,1,1,2,5,3,1,2,1,1,5,1,"A kutatás azt vizsgálta, hogy mennyire hatékony egy egészséges táplálkozást előremozdító beavatkozás az idősek körében.",7,4,7,"Igen, az elejétől a végéig sikerült koncentrálnom.",2,3,3,1,2,2,4,1,4,5,1,1,3,2,1,2,2,3,2,3,1,"/home/marton/Documents/projects/aic/data/raw//Trust in AI kérdőív - ver 0 (ai no, responsibility no) (Responses) - Form Responses 1.csv",2,0,0,0,17,17,34,25% Top,42,36,18,51,24,16,16,56,0,9,10,9,4,6,7,6
